	Major Program Name	School Year	Enroll, Female: Avg. ACT Math Score (Enrl F)	Enroll, Female: Avg. SAT Math Score (Enrl F)
2374	Computer Science	2015	32.0	705.0
2376	Computer Science	2016	30.0	666.0
2382	Computer Science	2015	29.5	692.0
2383	Computer Science	2016	29.3	704.0
2439	Software Engineering	2014	24.5	570.0
2520	Electrical Engineering	2012	27.0	630.0
2521	Electrical Engineering	2013	29.0	675.0
2522	Electrical Engineering	2014	25.0	700.0
2533	Electrical Engineering	2014	31.0	683.33
2536	Electrical Engineering	2011	28.0	685.0
2543	Computer Science + X	2010	17.0	570.0
2544	Computer Science + X	2011	22.857	500.0
2545	Computer Science + X	2012	23.857	430.0
2546	Computer Science + X	2013	22.1	545.0
2548	Electrical Engineering	2014	28.0	635.0
2549	Electrical Engineering	2013	32.5	610.0
2552	Electrical Engineering	2010	23.0	640.0
2553	Electrical Engineering	2014	29.4	720.0
2555	Electrical Engineering	2012	28.8	800.0
2559	Electrical Engineering	2015	25.2	580.0
2581	Electrical Engineering	2015	30.0	707.0
2582	Computer Science + X	2015	28.0	702.0
2586	Computer Science + X	2014	24.0	530.0
2587	Computer Science + X	2013	25.0	533.0
2588	Computer Science + X	2012	20.0	584.0
2589	Computer Science + X	2011	26.0	420.0
2591	Computer Science + X	2016	33.0	590.0
2592	Electrical Engineering	2016	33.0	748.0
2596	Electrical Engineering	2016	29.8	635.0
2599	Electrical Engineering	2015	29.0	660.0
2600	Electrical Engineering	2016	30.0	700.0
2616	Electrical Engineering	2015	25.5	665.0
2624	Computer Science + X	2015	22.3	529.2
2664	Mechanical Engineering	2012	26.0	672.0
2665	Mechanical Engineering	2013	27.0	603.0
2666	Mechanical Engineering	2014	27.0	640.0
2677	Mechanical Engineering	2010	30.1	653.0
2678	Mechanical Engineering	2011	29.9	682.0
2679	Mechanical Engineering	2012	29.3	637.0
2680	Mechanical Engineering	2013	29.8	626.0
2681	Mechanical Engineering	2014	29.2	635.0
2682	Mechanical Engineering	2014	31.0	710.0
2684	Mechanical Engineering	2012	28.0	691.0
2687	Mechanical Engineering	2014	26.6	560.0
2688	Mechanical Engineering	2013	24.0	588.0
2689	Mechanical Engineering	2012	21.0	560.0
2691	Mechanical Engineering	2010	35.0	624.0
2697	Mechanical Engineering	2015	30.2	642.0
2712	Mechanical Engineering	2015	33.0	693.0
2713	Mechanical Engineering	2016	31.0	692.0
2727	Mechanical Engineering	2015	22.0	535.0
